"sep=;"
URL;SEARCH_NAME;FOUND_NAME;ADDRESS;ZIP;CITY;PHONE;WEBSITE;NAME_MATCH?;ADDRESS_MATCH?;ZIP_MATCH?;CITY_MATCH?;PHONE_MATCH?;VARDCENTRAL;HITTA_OR_ENIRO;COLOR
http://www.hitta.se/s%C3%B6k?vad=L%C3%B6vg%C3%A4rdets+v%C3%A5rdcentral%2CVaniljgatan+28;Lövgärdets vårdcentral;Närhälsan Lövgärdet vårdcentral;Vaniljgatan 28;42445;Angered;031-7478550;http://www.narhalsan.se/lovgardetvardcentral;PARTIAL;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se//angered+care+v%C3%A5rdcentral+och+bvc/angered/VL~gjw4vnO?vad=Angereds+Torg+12%2C+42465+Angered;Medical Center Vårdcentral;Angered Care Vårdcentral och BVC;Angereds Torg 12;42465;Angered;031-485557,031-466565;;NO;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://gulasidorna.eniro.se/f/n%C3%A4rh%C3%A4lsan-angered-v%C3%A5rdcentral:14400822;Vårdcentralen Angered;Närhälsan Angered vårdcentral;Angereds Torg 5 Angered Centrum;42465;Angered;031-7479600;www.narhalsan.se/angere...;PARTIAL;PARTIAL;EXACT;EXACT;EXACT;NO;ENIRO;YELLOW
http://www.hitta.se//n%C3%A4rh%C3%A4lsan+hj%C3%A4llbo+v%C3%A5rdcentral/angered/0hT2Z54nnO?vad=Bergsg%C3%A5rdsg%C3%A4rdet+89+B%2C+42432+Angered;Vårdcentralen Lärjedalen;Närhälsan Hjällbo vårdcentral;Bergsgårdsgärdet 89 B;42432;Angered;031-7478300;http://www.narhalsan.se/hjallbovardcentral;NO;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Ankarsrums+H%C3%A4lsocentral%2CKungsv%C3%A4gen+40;Ankarsrums Hälsocentral;Ankarsrums hälsocentral;Kungsvägen 40;59370;Ankarsrum;0490-50400,1177;http://www.ltkalmar.se;EXACT;EXACT;NO;EXACT;EXACT;NO;HITTA;YELLOW
http://gulasidorna.eniro.se/f/grindberga-familjel%C3%A4karenhet:14553995;Grindberga Familjeläkarenhet AB;Grindberga familjeläkarenhet;Österled 30;73245;Arboga;0589-86520;www.ltv.se;PARTIAL;EXACT;EXACT;EXACT;EXACT;NO;ENIRO;YELLOW
http://www.hitta.se//familjel%C3%A4karna+i+arboga+ab/arboga/hSl2wwvmOU?vad=%C3%96sterled+30%2C+73245+Arboga;Åbågens Nya Vårdcentral;Familjeläkarna i Arboga AB;Österled 30;73245;Arboga;0589-86520;;NO;EXACT;EXACT;EXACT;NO;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=H%C3%A4lsocentralen+Arbr%C3%A5%2CStationsesplanaden+10;Hälsocentralen Arbrå;Arbrå din hälsocentral;Stationsesplanaden 10;82010;Arbrå;0278-38800,026-154000;http://www.lg.se/dinhalsocentral;PARTIAL;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Arjeplogs+v%C3%A5rdcentral%2CDoktor+Wallquists+v%C3%A4g+3;Arjeplogs vårdcentral;Arjeplogs Hälsocentral Slagnäs Laisvall;Doktor Wallquists Väg 3;93831;Arjeplog;0961-14800,0961-14800;http://www.nll.se/sv/Halsa-och-sjukvard/Vardcentraler1/Arjeplogs-halsocentral;PARTIAL;EXACT;NO;EXACT;EXACT;NO;HITTA;YELLOW
http://gulasidorna.eniro.se/f/din-doktor-i-m%C3%A4rsta:7808995;Din Doktor AB;Din Doktor I Märsta;Cederströms Slinga 3 Eurostop Arlandastad;19561;Arlandastad;08-59511160;www.dindoktor.eu;NO;NO;NO;EXACT;EXACT;NO;ENIRO;RED
http://www.hitta.se//barnmorskemottagning-m%C3%B6drav%C3%A5rdscentral+arl%C3%B6vs+v%C3%A5rdcentral/arl%C3%B6v/0Vdlss4vmn?vad=Svensh%C3%B6gsv%C3%A4gen+6%2C+23238+Arl%C3%B6v;Vårdcentralen Arlöv;Barnmorskemottagning/Mödravårdscentral Arlövs Vårdcentral;Svenshögsvägen 6;23238;Arlöv;046-176955;;PARTIAL;EXACT;EXACT;EXACT;NO;NO;HITTA;YELLOW
http://gulasidorna.eniro.se/f/arvidsjaurs-v%C3%A5rdcentral:13349947;Arvidsjaurs vårdcentral;Arvidsjaurs Vårdcentral;Sjukstugeg 3;93331;Arvidsjaur;0960-10215;www.nll.se;EXACT;NO;NO;EXACT;NO;NO;ENIRO;YELLOW
NOT FOUND;Kinnekullehälsan VC Arvika;;;;;;;NO;NO;NO;NO;NO;NO;HITTA;RED
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Verkstaden;Vårdcentralen Verkstaden;Vårdcentralen Verkstaden;Fabriksgatan 5;67132;Arvika;0570-712600;;EXACT;PARTIAL;NO;EXACT;NO;NO;HITTA;YELLOW
http://www.hitta.se//askersunds+v%C3%A5rdcentral/askersund/yhSMMswXX4?vad=Askersunds+v%C3%A5rdcentral%2CTorebergsv%C3%A4gen+15;Askersunds vårdcentral;Askersunds Vårdcentral;Torebergsvägen 15;69631;Askersund;0583-85710,019-6021000,019-6702531;http://www.orebroll.se/askersund;EXACT;EXACT;EXACT;EXACT;NO;NO;HITTA;YELLOW
http://www.hitta.se//hov%C3%A5s-askim+familjel%C3%A4kare+och+bvc/askim/VzTZs-vOOU?vad=Askims+Torg+5%2C+43643+Askim;Hovas Askim Familjeläkare o BVC;Hovås-Askim Familjeläkare & BVC;Askims Torg 5;43643;Askim;031-7279000;http://www.hovasaskimfamiljelakare.se;NO;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Askim%2CDatav%C3%A4gen+1;Vårdcentralen Askim;Närhälsan Askim vårdcentral;Datavägen 1;43632;Askim;031-7479300;http://www.narhalsan.se/askimvardcentral;PARTIAL;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se//avesta+v%C3%A5rdcentral/avesta/hh~WlwXmmn?vad=Avesta+v%C3%A5rdcentral%2CAvesta+lasarett;Avesta vårdcentral;Avesta Vårdcentral;Avesta Lasarett;77482;Avesta;0226-496270,0226-496428;;EXACT;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Krylbo+v%C3%A5rdcentral%2CAvesta+lasarett;Krylbo vårdcentral;Krylbo Vårdcentral;Avesta Lasarett;77482;Avesta;0226-496360,0226-496426;;EXACT;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se//skogsbo+v%C3%A5rdcentral/avesta/L~dlj-vOOU?vad=Skogsbo+v%C3%A5rdcentral%2CAvesta+lasarett;Skogsbo vårdcentral;Skogsbo Vårdcentral;Avesta Lasarett;77482;Avesta;0226-496460,0226-496433,0226-496475;;EXACT;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Backe+h%C3%A4lsocentral%2CLasarettsv%C3%A4gen+20;Backe hälsocentral;Backe Hälsocentral;Lasarettsvägen 20;88050;Backe;0624-512060;http://www.jll.se/folkhalsasjukochtandvard/halsocentraler/backe;EXACT;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se//din+v%C3%A5rdcentral+bagarmossen/bagarmossen/~M24nou66F?vad=Din+V%C3%A5rdcentral+Bagarmossen+AB%2CLill%C3%A5v%C3%A4gen+68;Din Vårdcentral Bagarmossen AB;Din Vårdcentral Bagarmossen;Lillåvägen 68;12845;Bagarmossen;08-6881551,08-6881550,08-6881501;http://www.dvcb.se;PARTIAL;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Capio+V%C3%A5rdcentral+Hags%C3%A4tra;Capio Vårdcentral Hagsätra;Capio Vårdcentral Hagsätra;Hagsätra Torg 7 B;12473;Bandhagen;08-12000990,08-12339000;http://www.capiovardcentral.se/Stockholm/Hagsatra/start;EXACT;PARTIAL;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Capio+V%C3%A5rdcentral+H%C3%B6gdalen%2C%C3%96nskehemsgatan+22;Capio Vårdcentral Högdalen;Capio Vårdcentral Högdalen;Önskehemsgatan 22;12454;Bandhagen;08-12000880;http://www.capiovardcentral.se/Stockholm/Hogdalen/start;EXACT;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
